Date,AAPL,AMZN,JPM,MGM,TSLA,VOO,VZ
2012-10-11,19.434187,244.220001,33.53891,9.707155,5.664,111.687096,31.634409
2012-10-12,19.484005,242.360001,33.156521,9.68825,5.528,111.295647,31.228479
2012-10-15,19.640253,244.179993,33.761974,9.811125,5.466,112.231644,31.144497
2012-10-16,20.105305,243.940002,34.120464,10.123039,5.612,113.371849,30.850554
2012-10-17,19.945026,247.490005,34.510822,10.321529,5.764,113.899368,31.29847
2012-10-18,19.574661,244.850006,34.263859,10.55783,5.608,113.610069,32.040348
2012-10-19,18.869204,240.0,33.71418,10.453859,5.548,111.670074,31.606421
2012-10-22,19.617674,233.779999,33.530941,10.4066,5.57,111.738136,31.333466
2012-10-23,18.978111,234.309998,32.925499,10.151396,5.678,110.104416,30.843552
2012-10-24,19.08548,228.490005,33.228218,10.056874,5.484,109.866173,30.955534
2012-10-25,18.859917,222.919998,33.196354,10.283723,5.504,110.172478,30.969524
2012-10-26,18.688503,238.240005,32.79007,10.009616,5.476,110.08741,31.305468
2012-10-31,18.41993,232.889999,33.204319,9.744961,5.626,109.985298,31.242493
2012-11-01,18.457687,232.139999,34.128429,9.896194,5.85,111.278633,31.592428
2012-11-02,17.846907,232.419998,33.793842,9.68825,5.784,110.274605,31.158497
2012-11-05,18.088867,234.330002,33.674343,9.546469,6.3,110.529877,30.934538
2012-11-06,18.034098,237.559998,34.160297,9.744961,6.23,111.346725,31.004522
2012-11-07,17.344067,232.059998,32.248329,9.508663,6.308,108.913193,30.227665
2012-11-08,16.714642,227.350006,32.184616,9.244006,6.262,107.466682,29.821732
2012-11-09,17.004023,226.309998,32.359886,9.461404,6.064,107.5858,29.84273
2012-11-12,16.872543,226.470001,32.328003,9.06442,6.214,107.738968,29.786736
2012-11-13,16.874722,226.600006,31.897808,8.932094,6.322,107.347557,29.772751
2012-11-14,16.687601,222.949997,31.300333,8.790314,6.276,106.037193,29.562784
2012-11-15,16.33761,220.600006,31.379992,8.856479,6.164,105.628784,29.184847
2012-11-16,16.401638,225.229996,31.491518,9.111681,6.368,106.17334,28.974884
2012-11-19,17.584332,229.710007,32.335976,9.073874,6.584,108.334595,29.961712
2012-11-20,17.434511,233.779999,32.423603,9.111681,6.6,108.453728,29.968712
2012-11-21,17.459074,238.029999,32.447498,9.347979,6.494,108.691963,30.206663
2012-11-23,17.76368,239.880005,32.734299,9.442498,6.426,110.070374,30.626589
2012-11-26,18.324095,243.619995,32.567001,9.281816,6.454,109.934219,30.304642
2012-11-27,18.176453,243.399994,32.463425,9.319623,6.43,109.406715,30.080679
2012-11-28,18.119263,247.110001,32.527172,9.442498,6.646,110.223518,30.486612
2012-11-29,18.318811,251.270004,32.837864,9.461404,6.738,110.717049,30.801567
2012-11-30,18.191992,252.050003,32.726334,9.59373,6.764,110.614937,30.87855
